engagement_id,user_id,module_id,topic_category,quiz_score,completion_flag,time_spent_seconds,attempts,difficulty_level,session_timestamp,language_used
ENG_000031,USR_00007,LIT_005,budgeting,68,True,817,1,3,2025-07-12T00:00:00,mr
ENG_000032,USR_00007,LIT_004,upi_safety,74,True,617,1,2,2025-08-01T00:00:00,mr
ENG_000033,USR_00008,LIT_002,loans,65,True,849,3,4,2025-07-14T00:00:00,en
ENG_000034,USR_00008,LIT_003,savings,97,False,447,1,2,2025-07-25T00:00:00,ta
ENG_000035,USR_00008,LIT_001,credit,65,False,459,2,3,2025-07-24T00:00:00,ta
ENG_000036,USR_00008,LIT_006,interest_rates,84,True,705,1,4,2025-08-05T00:00:00,ta
ENG_000037,USR_00008,LIT_004,upi_safety,69,True,545,3,2,2025-08-05T00:00:00,ta
ENG_000038,USR_00009,LIT_006,interest_rates,64,True,623,3,4,2025-07-03T00:00:00,ta
ENG_000039,USR_00009,LIT_002,loans,90,True,779,1,4,2025-07-12T00:00:00,ta
ENG_000040,USR_00009,LIT_004,upi_safety,55,True,450,2,2,2025-07-19T00:00:00,en
ENG_000041,USR_00009,LIT_003,savings,61,True,722,2,2,2025-08-02T00:00:00,ta
ENG_000042,USR_00009,LIT_005,budgeting,57,True,174,2,3,2025-08-10T00:00:00,ta
ENG_000043,USR_00010,LIT_002,loans,90,True,604,1,4,2025-07-07T00:00:00,te
ENG_000044,USR_00010,LIT_004,upi_safety,64,False,903,2,2,2025-07-10T00:00:00,en
ENG_000045,USR_00010,LIT_003,savings,63,True,435,3,2,2025-07-22T00:00:00,te
ENG_000046,USR_00010,LIT_006,interest_rates,77,True,602,1,4,2025-08-03T00:00:00,te
ENG_000047,USR_00011,LIT_004,upi_safety,90,True,472,1,2,2025-07-11T00:00:00,hi
ENG_000048,USR_00011,LIT_006,interest_rates,79,True,120,1,4,2025-07-23T00:00:00,en
ENG_000049,USR_00011,LIT_002,loans,76,True,543,1,4,2025-07-26T00:00:00,en
ENG_000050,USR_00011,LIT_003,savings,51,True,554,2,2,2025-07-30T00:00:00,hi
ENG_000051,USR_00011,LIT_005,budgeting,61,True,1166,3,3,2025-08-05T00:00:00,hi
ENG_000052,USR_00012,LIT_001,credit,85,True,1029,1,3,2025-07-12T00:00:00,en
ENG_000053,USR_00012,LIT_005,budgeting,57,True,946,1,3,2025-07-14T00:00:00,te
ENG_000054,USR_00012,LIT_006,interest_rates,85,True,552,1,4,2025-07-25T00:00:00,te
ENG_000055,USR_00012,LIT_002,loans,63,True,547,3,4,2025-08-01T00:00:00,en
ENG_000056,USR_00012,LIT_004,upi_safety,68,True,362,3,2,2025-07-26T00:00:00,te
ENG_000057,USR_00012,LIT_003,savings,85,False,616,1,2,2025-08-14T00:00:00,en
ENG_000058,USR_00013,LIT_005,budgeting,47,False,433,3,3,2025-07-01T00:00:00,mr
ENG_000059,USR_00013,LIT_006,interest_rates,55,True,393,3,4,2025-07-10T00:00:00,en
ENG_000060,USR_00013,LIT_001,credit,50,True,494,1,3,2025-07-19T00:00:00,en
ENG_000061,USR_00013,LIT_002,loans,87,False,516,1,4,2025-08-13T00:00:00,mr
ENG_000062,USR_00014,LIT_001,credit,65,True,446,3,3,2025-07-16T00:00:00,kn
ENG_000063,USR_00014,LIT_006,interest_rates,81,True,555,1,4,2025-07-07T00:00:00,en
ENG_000064,USR_00014,LIT_004,upi_safety,52,False,368,1,2,2025-07-19T00:00:00,kn
ENG_000065,USR_00014,LIT_005,budgeting,61,True,565,3,3,2025-07-20T00:00:00,kn
ENG_000066,USR_00014,LIT_002,loans,61,True,545,2,4,2025-08-20T00:00:00,kn
ENG_000067,USR_00014,LIT_003,savings,75,True,425,1,2,2025-08-26T00:00:00,kn
ENG_000068,USR_00015,LIT_001,credit,100,True,723,1,3,2025-07-13T00:00:00,te
ENG_000069,USR_00015,LIT_002,loans,50,True,785,2,4,2025-07-17T00:00:00,te
ENG_000070,USR_00015,LIT_003,savings,90,True,616,1,2,2025-07-25T00:00:00,te
ENG_000071,USR_00015,LIT_006,interest_rates,81,True,539,1,4,2025-07-22T00:00:00,te
ENG_000072,USR_00016,LIT_002,loans,74,True,514,1,4,2025-07-13T00:00:00,ta
ENG_000073,USR_00016,LIT_005,budgeting,83,False,926,1,3,2025-07-10T00:00:00,ta
ENG_000074,USR_00016,LIT_003,savings,65,True,473,1,2,2025-07-23T00:00:00,ta
ENG_000075,USR_00016,LIT_006,interest_rates,57,True,595,1,4,2025-07-17T00:00:00,ta
ENG_000076,USR_00016,LIT_001,credit,69,True,215,1,3,2025-08-02T00:00:00,ta
ENG_000077,USR_00017,LIT_003,savings,65,True,428,1,2,2025-07-06T00:00:00,en
ENG_000078,USR_00017,LIT_006,interest_rates,74,True,550,1,4,2025-07-08T00:00:00,ta
ENG_000079,USR_00017,LIT_001,credit,81,True,801,1,3,2025-07-28T00:00:00,ta
ENG_000080,USR_00017,LIT_004,upi_safety,59,True,706,1,2,2025-07-29T00:00:00,ta
ENG_000081,USR_00017,LIT_002,loans,49,True,459,3,4,2025-08-03T00:00:00,ta
ENG_000082,USR_00017,LIT_005,budgeting,74,True,674,1,3,2025-08-25T00:00:00,ta
ENG_000083,USR_00018,LIT_005,budgeting,74,False,649,1,3,2025-07-07T00:00:00,ta
ENG_000084,USR_00018,LIT_003,savings,41,True,703,1,2,2025-07-11T00:00:00,ta
ENG_000085,USR_00018,LIT_001,credit,85,True,918,1,3,2025-08-03T00:00:00,ta
ENG_000086,USR_00018,LIT_002,loans,83,True,496,1,4,2025-08-11T00:00:00,en
ENG_000087,USR_00018,LIT_004,upi_safety,73,True,797,1,2,2025-08-25T00:00:00,en
ENG_000088,USR_00018,LIT_006,interest_rates,31,True,316,1,4,2025-08-22T00:00:00,ta
ENG_000089,USR_00019,LIT_002,loans,100,True,623,1,4,2025-07-03T00:00:00,mr
ENG_000090,USR_00019,LIT_001,credit,100,True,412,1,3,2025-07-25T00:00:00,mr
ENG_000091,USR_00019,LIT_006,interest_rates,63,True,540,3,4,2025-07-12T00:00:00,mr
ENG_000092,USR_00019,LIT_003,savings,85,True,432,1,2,2025-07-16T00:00:00,en
ENG_000093,USR_00019,LIT_004,upi_safety,78,True,580,1,2,2025-08-10T00:00:00,mr
ENG_000094,USR_00020,LIT_001,credit,51,True,799,3,3,2025-07-10T00:00:00,ta
ENG_000095,USR_00020,LIT_003,savings,48,True,631,2,2,2025-07-19T00:00:00,ta
ENG_000096,USR_00020,LIT_004,upi_safety,53,True,800,1,2,2025-08-03T00:00:00,en
ENG_000097,USR_00020,LIT_005,budgeting,49,False,768,3,3,2025-07-18T00:00:00,ta
ENG_000098,USR_00021,LIT_004,upi_safety,64,True,524,3,2,2025-07-12T00:00:00,te
ENG_000099,USR_00021,LIT_003,savings,98,False,619,1,2,2025-07-20T00:00:00,en
ENG_000100,USR_00021,LIT_005,budgeting,81,True,781,1,3,2025-07-15T00:00:00,en
ENG_000101,USR_00021,LIT_006,interest_rates,61,True,807,3,4,2025-07-21T00:00:00,te
ENG_000102,USR_00021,LIT_002,loans,78,True,708,1,4,2025-08-08T00:00:00,en
ENG_000103,USR_00022,LIT_004,upi_safety,68,True,491,3,2,2025-07-15T00:00:00,mr
ENG_000104,USR_00022,LIT_006,interest_rates,98,True,433,1,4,2025-07-23T00:00:00,mr
ENG_000105,USR_00022,LIT_003,savings,87,True,472,1,2,2025-07-18T00:00:00,en
ENG_000106,USR_00022,LIT_001,credit,70,False,691,2,3,2025-07-19T00:00:00,mr
ENG_000107,USR_00023,LIT_001,credit,59,True,505,3,3,2025-07-06T00:00:00,te
ENG_000108,USR_00023,LIT_003,savings,77,True,772,1,2,2025-07-24T00:00:00,te
ENG_000109,USR_00023,LIT_002,loans,57,True,462,3,4,2025-07-13T00:00:00,te
ENG_000110,USR_00023,LIT_004,upi_safety,64,True,429,1,2,2025-07-19T00:00:00,en
ENG_000111,USR_00023,LIT_005,budgeting,80,False,940,1,3,2025-08-25T00:00:00,en
ENG_000112,USR_00024,LIT_005,budgeting,80,False,395,1,3,2025-07-05T00:00:00,en
ENG_000113,USR_00024,LIT_002,loans,75,True,437,1,4,2025-07-11T00:00:00,mr
ENG_000114,USR_00024,LIT_001,credit,81,False,473,1,3,2025-08-01T00:00:00,mr
ENG_000115,USR_00024,LIT_006,interest_rates,97,True,817,1,4,2025-08-02T00:00:00,mr
ENG_000116,USR_00024,LIT_003,savings,68,True,662,3,2,2025-08-15T00:00:00,mr
ENG_000117,USR_00025,LIT_004,upi_safety,93,True,420,1,2,2025-07-11T00:00:00,hi
ENG_000118,USR_00025,LIT_003,savings,68,True,614,2,2,2025-07-14T00:00:00,hi
ENG_000119,USR_00025,LIT_005,budgeting,96,True,627,1,3,2025-07-29T00:00:00,en
ENG_000120,USR_00025,LIT_001,credit,73,True,704,1,3,2025-08-06T00:00:00,en
ENG_000121,USR_00025,LIT_002,loans,86,True,785,1,4,2025-08-05T00:00:00,hi
ENG_000122,USR_00026,LIT_003,savings,68,True,683,3,2,2025-07-07T00:00:00,mr
ENG_000123,USR_00026,LIT_005,budgeting,100,True,705,1,3,2025-07-14T00:00:00,mr
ENG_000124,USR_00026,LIT_002,loans,93,True,599,1,4,2025-07-12T00:00:00,mr
ENG_000125,USR_00026,LIT_006,interest_rates,97,True,639,1,4,2025-08-11T00:00:00,mr
ENG_000126,USR_00026,LIT_004,upi_safety,61,True,430,1,2,2025-08-15T00:00:00,mr
ENG_000127,USR_00026,LIT_001,credit,78,True,1009,1,3,2025-08-07T00:00:00,mr
ENG_000128,USR_00027,LIT_006,interest_rates,83,True,248,1,4,2025-07-02T00:00:00,te
ENG_000129,USR_00027,LIT_002,loans,76,True,542,1,4,2025-07-11T00:00:00,en
ENG_000130,USR_00027,LIT_003,savings,67,True,435,3,2,2025-07-20T00:00:00,en
ENG_000131,USR_00027,LIT_001,credit,58,True,941,1,3,2025-08-02T00:00:00,te
ENG_000132,USR_00027,LIT_004,upi_safety,66,True,528,1,2,2025-08-03T00:00:00,te
ENG_000133,USR_00028,LIT_004,upi_safety,66,True,524,2,2,2025-07-03T00:00:00,ta
ENG_000134,USR_00028,LIT_005,budgeting,82,True,682,1,3,2025-07-25T00:00:00,en
ENG_000135,USR_00028,LIT_001,credit,51,False,524,1,3,2025-07-23T00:00:00,ta
ENG_000136,USR_00028,LIT_003,savings,91,True,542,1,2,2025-08-01T00:00:00,ta
ENG_000137,USR_00028,LIT_006,interest_rates,44,True,782,3,4,2025-08-22T00:00:00,en
ENG_000138,USR_00028,LIT_002,loans,90,False,538,1,4,2025-07-29T00:00:00,en
ENG_000139,USR_00029,LIT_006,interest_rates,73,True,557,1,4,2025-07-13T00:00:00,en
ENG_000140,USR_00029,LIT_001,credit,42,True,120,3,3,2025-07-25T00:00:00,hi
ENG_000141,USR_00029,LIT_005,budgeting,66,True,606,3,3,2025-08-02T00:00:00,hi
ENG_000142,USR_00029,LIT_002,loans,55,True,826,3,4,2025-07-30T00:00:00,en
ENG_000143,USR_00029,LIT_003,savings,100,True,775,1,2,2025-07-24T00:00:00,hi
ENG_000144,USR_00030,LIT_005,budgeting,100,True,720,1,3,2025-07-08T00:00:00,kn
ENG_000145,USR_00030,LIT_003,savings,96,True,678,1,2,2025-07-09T00:00:00,en
ENG_000146,USR_00030,LIT_002,loans,75,True,425,1,4,2025-07-19T00:00:00,kn
ENG_000147,USR_00030,LIT_004,upi_safety,56,True,688,2,2,2025-07-27T00:00:00,en
ENG_000148,USR_00030,LIT_006,interest_rates,75,True,342,1,4,2025-08-23T00:00:00,kn
ENG_000149,USR_00031,LIT_006,interest_rates,54,True,691,2,4,2025-07-10T00:00:00,kn
ENG_000150,USR_00031,LIT_002,loans,84,True,163,1,4,2025-07-21T00:00:00,en
ENG_000151,USR_00031,LIT_004,upi_safety,83,True,226,1,2,2025-07-16T00:00:00,en
ENG_000152,USR_00031,LIT_003,savings,73,False,566,1,2,2025-08-14T00:00:00,kn
ENG_000153,USR_00031,LIT_005,budgeting,57,True,676,2,3,2025-08-09T00:00:00,kn
ENG_000154,USR_00031,LIT_001,credit,58,True,413,1,3,2025-07-29T00:00:00,en
ENG_000155,USR_00032,LIT_001,credit,79,True,522,1,3,2025-07-11T00:00:00,kn
ENG_000156,USR_00032,LIT_002,loans,38,True,535,1,4,2025-07-13T00:00:00,kn
ENG_000157,USR_00032,LIT_004,upi_safety,76,True,514,1,2,2025-07-30T00:00:00,kn
ENG_000158,USR_00032,LIT_005,budgeting,79,True,234,1,3,2025-07-31T00:00:00,kn
ENG_000159,USR_00032,LIT_006,interest_rates,62,True,731,3,4,2025-08-12T00:00:00,en
ENG_000160,USR_00033,LIT_003,savings,68,True,794,2,2,2025-07-01T00:00:00,te
ENG_000161,USR_00033,LIT_002,loans,67,True,701,3,4,2025-07-09T00:00:00,te
ENG_000162,USR_00033,LIT_006,interest_rates,57,True,158,1,4,2025-07-31T00:00:00,en
ENG_000163,USR_00033,LIT_001,credit,81,False,763,1,3,2025-07-21T00:00:00,te
ENG_000164,USR_00033,LIT_004,upi_safety,80,True,661,1,2,2025-08-16T00:00:00,te
ENG_000165,USR_00033,LIT_005,budgeting,84,True,359,1,3,2025-08-17T00:00:00,en
ENG_000166,USR_00034,LIT_005,budgeting,100,True,210,1,3,2025-07-05T00:00:00,hi
ENG_000167,USR_00034,LIT_004,upi_safety,66,True,581,3,2,2025-07-24T00:00:00,hi
ENG_000168,USR_00034,LIT_006,interest_rates,97,True,283,1,4,2025-08-05T00:00:00,hi
ENG_000169,USR_00034,LIT_002,loans,64,True,615,2,4,2025-08-04T00:00:00,en
ENG_000170,USR_00034,LIT_001,credit,61,True,659,3,3,2025-08-13T00:00:00,en
ENG_000171,USR_00035,LIT_003,savings,52,True,745,2,2,2025-07-04T00:00:00,en
ENG_000172,USR_00035,LIT_005,budgeting,71,True,762,1,3,2025-07-22T00:00:00,kn
ENG_000173,USR_00035,LIT_004,upi_safety,56,True,716,2,2,2025-07-30T00:00:00,kn
ENG_000174,USR_00035,LIT_001,credit,81,True,537,1,3,2025-07-31T00:00:00,kn
ENG_000175,USR_00035,LIT_006,interest_rates,73,False,548,1,4,2025-08-08T00:00:00,en
ENG_000176,USR_00036,LIT_003,savings,97,True,843,1,2,2025-07-16T00:00:00,hi
ENG_000177,USR_00036,LIT_004,upi_safety,78,True,296,1,2,2025-07-07T00:00:00,hi
ENG_000178,USR_00036,LIT_002,loans,72,False,640,1,4,2025-07-30T00:00:00,hi
ENG_000179,USR_00036,LIT_005,budgeting,83,True,831,1,3,2025-07-26T00:00:00,hi
ENG_000180,USR_00036,LIT_006,interest_rates,73,True,412,1,4,2025-08-02T00:00:00,hi
ENG_000181,USR_00037,LIT_005,budgeting,64,True,965,2,3,2025-07-15T00:00:00,te
ENG_000182,USR_00037,LIT_004,upi_safety,71,True,863,1,2,2025-07-12T00:00:00,te
ENG_000183,USR_00037,LIT_003,savings,81,True,404,1,2,2025-07-17T00:00:00,en
ENG_000184,USR_00037,LIT_001,credit,59,True,715,1,3,2025-07-17T00:00:00,te
ENG_000185,USR_00037,LIT_002,loans,61,True,520,2,4,2025-08-09T00:00:00,te
ENG_000186,USR_00037,LIT_006,interest_rates,72,True,484,1,4,2025-08-15T00:00:00,te
ENG_000187,USR_00038,LIT_006,interest_rates,71,True,562,1,4,2025-07-04T00:00:00,te
ENG_000188,USR_00038,LIT_002,loans,67,True,541,3,4,2025-07-20T00:00:00,te
ENG_000189,USR_00038,LIT_001,credit,48,True,823,1,3,2025-07-28T00:00:00,te
ENG_000190,USR_00038,LIT_003,savings,66,False,683,3,2,2025-08-10T00:00:00,en
ENG_000191,USR_00038,LIT_004,upi_safety,83,True,884,1,2,2025-08-16T00:00:00,en
ENG_000192,USR_00038,LIT_005,budgeting,85,True,502,1,3,2025-07-28T00:00:00,te
ENG_000193,USR_00039,LIT_006,interest_rates,59,True,619,3,4,2025-07-04T00:00:00,mr
ENG_000194,USR_00039,LIT_005,budgeting,52,True,465,2,3,2025-07-18T00:00:00,en
ENG_000195,USR_00039,LIT_003,savings,61,True,725,3,2,2025-07-28T00:00:00,mr
ENG_000196,USR_00040,LIT_003,savings,49,True,592,2,2,2025-07-02T00:00:00,mr
ENG_000197,USR_00040,LIT_002,loans,79,True,450,1,4,2025-07-09T00:00:00,mr
ENG_000198,USR_00040,LIT_004,upi_safety,42,False,540,1,2,2025-07-26T00:00:00,mr
ENG_000199,USR_00040,LIT_001,credit,61,True,553,2,3,2025-08-09T00:00:00,mr
ENG_000200,USR_00040,LIT_005,budgeting,89,False,897,1,3,2025-07-23T00:00:00,en
ENG_000201,USR_00040,LIT_006,interest_rates,65,True,514,2,4,2025-08-28T00:00:00,mr
ENG_000202,USR_00041,LIT_001,credit,90,False,1026,1,3,2025-07-15T00:00:00,en
ENG_000203,USR_00041,LIT_006,interest_rates,63,False,778,2,4,2025-07-09T00:00:00,en
ENG_000204,USR_00041,LIT_002,loans,66,False,608,1,4,2025-08-01T00:00:00,te
ENG_000205,USR_00041,LIT_003,savings,64,True,575,2,2,2025-07-19T00:00:00,en
ENG_000206,USR_00041,LIT_004,upi_safety,75,True,784,1,2,2025-08-02T00:00:00,te
ENG_000207,USR_00041,LIT_005,budgeting,100,True,480,1,3,2025-08-22T00:00:00,te
ENG_000208,USR_00042,LIT_002,loans,76,True,789,1,4,2025-07-12T00:00:00,hi
ENG_000209,USR_00042,LIT_001,credit,75,True,813,1,3,2025-07-07T00:00:00,en
ENG_000210,USR_00042,LIT_005,budgeting,92,True,902,1,3,2025-07-30T00:00:00,hi
ENG_000211,USR_00042,LIT_003,savings,61,True,545,2,2,2025-08-12T00:00:00,hi
ENG_000212,USR_00043,LIT_001,credit,76,True,727,1,3,2025-07-04T00:00:00,en
ENG_000213,USR_00043,LIT_006,interest_rates,81,False,485,1,4,2025-07-17T00:00:00,ta
ENG_000214,USR_00043,LIT_002,loans,41,True,435,1,4,2025-07-16T00:00:00,ta
ENG_000215,USR_00043,LIT_004,upi_safety,73,True,491,1,2,2025-07-18T00:00:00,ta
ENG_000216,USR_00043,LIT_003,savings,86,True,397,1,2,2025-08-11T00:00:00,ta
ENG_000217,USR_00043,LIT_005,budgeting,69,True,530,1,3,2025-08-14T00:00:00,ta
ENG_000218,USR_00044,LIT_004,upi_safety,81,True,601,1,2,2025-07-16T00:00:00,te
ENG_000219,USR_00044,LIT_003,savings,61,True,613,3,2,2025-07-22T00:00:00,en
ENG_000220,USR_00044,LIT_006,interest_rates,100,True,440,1,4,2025-07-27T00:00:00,te
ENG_000221,USR_00044,LIT_002,loans,69,True,582,3,4,2025-08-01T00:00:00,en
ENG_000222,USR_00044,LIT_005,budgeting,58,True,480,3,3,2025-08-18T00:00:00,en
ENG_000223,USR_00044,LIT_001,credit,64,True,520,3,3,2025-08-13T00:00:00,te
ENG_000224,USR_00045,LIT_004,upi_safety,68,True,971,2,2,2025-07-02T00:00:00,en
ENG_000225,USR_00045,LIT_006,interest_rates,77,True,403,1,4,2025-07-10T00:00:00,en
ENG_000226,USR_00045,LIT_002,loans,61,False,978,2,4,2025-07-12T00:00:00,te
ENG_000227,USR_00045,LIT_001,credit,56,True,909,3,3,2025-08-13T00:00:00,te
ENG_000228,USR_00045,LIT_003,savings,57,True,666,1,2,2025-08-17T00:00:00,te
ENG_000229,USR_00045,LIT_005,budgeting,87,True,698,1,3,2025-08-05T00:00:00,te
ENG_000230,USR_00046,LIT_001,credit,63,False,651,2,3,2025-07-09T00:00:00,en
ENG_000231,USR_00046,LIT_006,interest_rates,100,True,423,1,4,2025-07-25T00:00:00,kn
ENG_000232,USR_00046,LIT_002,loans,100,False,808,1,4,2025-07-13T00:00:00,kn
ENG_000233,USR_00046,LIT_005,budgeting,90,True,852,1,3,2025-07-23T00:00:00,kn
ENG_000234,USR_00046,LIT_004,upi_safety,93,True,825,1,2,2025-08-10T00:00:00,en
ENG_000235,USR_00046,LIT_003,savings,63,False,708,3,2,2025-08-02T00:00:00,kn
ENG_000236,USR_00047,LIT_004,upi_safety,51,True,737,3,2,2025-07-03T00:00:00,kn
ENG_000237,USR_00047,LIT_006,interest_rates,65,True,927,1,4,2025-07-09T00:00:00,en
ENG_000238,USR_00047,LIT_002,loans,85,True,541,1,4,2025-08-02T00:00:00,en
ENG_000239,USR_00047,LIT_005,budgeting,97,True,706,1,3,2025-07-31T00:00:00,kn
ENG_000240,USR_00047,LIT_003,savings,68,True,465,1,2,2025-07-25T00:00:00,kn
ENG_000241,USR_00047,LIT_001,credit,73,True,895,1,3,2025-08-21T00:00:00,kn
ENG_000242,USR_00048,LIT_003,savings,85,True,966,1,2,2025-07-01T00:00:00,kn
ENG_000243,USR_00048,LIT_004,upi_safety,99,True,422,1,2,2025-07-07T00:00:00,kn
ENG_000244,USR_00048,LIT_002,loans,74,True,825,1,4,2025-08-01T00:00:00,en
ENG_000245,USR_00048,LIT_006,interest_rates,62,True,620,2,4,2025-07-24T00:00:00,en
ENG_000246,USR_00048,LIT_001,credit,79,False,613,1,3,2025-08-06T00:00:00,kn
ENG_000247,USR_00048,LIT_005,budgeting,62,True,221,2,3,2025-08-21T00:00:00,kn
ENG_000248,USR_00049,LIT_005,budgeting,49,True,719,3,3,2025-07-01T00:00:00,te
ENG_000249,USR_00049,LIT_003,savings,58,True,915,2,2,2025-07-17T00:00:00,en
ENG_000250,USR_00049,LIT_004,upi_safety,61,True,820,3,2,2025-07-29T00:00:00,te
ENG_000251,USR_00049,LIT_001,credit,68,True,722,3,3,2025-07-27T00:00:00,te
ENG_000252,USR_00049,LIT_006,interest_rates,71,True,693,1,4,2025-08-19T00:00:00,te
ENG_000253,USR_00050,LIT_003,savings,85,True,398,1,2,2025-07-01T00:00:00,hi
ENG_000254,USR_00050,LIT_006,interest_rates,63,True,511,2,4,2025-07-18T00:00:00,hi
ENG_000255,USR_00050,LIT_002,loans,100,True,513,1,4,2025-08-04T00:00:00,hi
ENG_000256,USR_00050,LIT_005,budgeting,45,True,721,1,3,2025-07-31T00:00:00,en
ENG_000257,USR_00050,LIT_004,upi_safety,77,True,860,1,2,2025-08-13T00:00:00,hi
ENG_000258,USR_00050,LIT_001,credit,81,False,566,1,3,2025-08-10T00:00:00,hi
ENG_000259,USR_00051,LIT_001,credit,66,True,590,2,3,2025-07-07T00:00:00,en
ENG_000260,USR_00051,LIT_003,savings,66,True,561,1,2,2025-07-13T00:00:00,hi
ENG_000261,USR_00051,LIT_005,budgeting,75,True,631,1,3,2025-07-29T00:00:00,en
ENG_000262,USR_00051,LIT_004,upi_safety,54,False,713,1,2,2025-08-02T00:00:00,hi
ENG_000263,USR_00052,LIT_001,credit,62,True,781,3,3,2025-07-08T00:00:00,en
ENG_000264,USR_00052,LIT_006,interest_rates,47,True,543,2,4,2025-07-19T00:00:00,ta
ENG_000265,USR_00052,LIT_003,savings,49,True,874,3,2,2025-07-23T00:00:00,ta
ENG_000266,USR_00052,LIT_004,upi_safety,74,True,752,1,2,2025-08-05T00:00:00,ta
ENG_000267,USR_00052,LIT_002,loans,81,True,574,1,4,2025-08-24T00:00:00,en
ENG_000268,USR_00052,LIT_005,budgeting,73,False,975,1,3,2025-07-31T00:00:00,en
ENG_000269,USR_00053,LIT_001,credit,94,True,691,1,3,2025-07-09T00:00:00,te
ENG_000270,USR_00053,LIT_003,savings,44,True,761,3,2,2025-07-23T00:00:00,te
ENG_000271,USR_00053,LIT_005,budgeting,77,True,821,1,3,2025-07-15T00:00:00,te
ENG_000272,USR_00053,LIT_004,upi_safety,79,True,385,1,2,2025-07-24T00:00:00,en
ENG_000273,USR_00053,LIT_002,loans,79,True,642,1,4,2025-07-25T00:00:00,te
ENG_000274,USR_00054,LIT_006,interest_rates,83,True,675,1,4,2025-07-15T00:00:00,ta
ENG_000275,USR_00054,LIT_003,savings,55,True,411,1,2,2025-07-19T00:00:00,ta
ENG_000276,USR_00054,LIT_001,credit,100,True,702,1,3,2025-07-15T00:00:00,en
ENG_000277,USR_00054,LIT_005,budgeting,75,True,469,1,3,2025-07-17T00:00:00,en
ENG_000278,USR_00054,LIT_004,upi_safety,52,False,598,3,2,2025-07-31T00:00:00,ta
ENG_000279,USR_00054,LIT_002,loans,54,True,659,1,4,2025-09-02T00:00:00,ta
ENG_000280,USR_00055,LIT_005,budgeting,65,True,438,2,3,2025-07-01T00:00:00,en
ENG_000281,USR_00055,LIT_001,credit,93,True,723,1,3,2025-07-16T00:00:00,hi
ENG_000282,USR_00055,LIT_006,interest_rates,61,True,789,2,4,2025-08-05T00:00:00,en
ENG_000283,USR_00055,LIT_003,savings,72,True,443,1,2,2025-08-08T00:00:00,hi
ENG_000284,USR_00056,LIT_004,upi_safety,100,True,475,1,2,2025-07-16T00:00:00,en
