bill_id,user_id,bill_type,bill_amount,due_date,payment_date,payment_mode,days_before_after_due,is_on_time,month,year
BILL_0000054,USR_00001,dth,898.48,2025-06-10,2025-06-09,auto_debit,-1.0,True,6,2025
BILL_0000055,USR_00001,dth,729.79,2025-07-13,2025-07-19,upi,6.0,False,7,2025
BILL_0000056,USR_00001,dth,817.41,2025-08-22,2025-08-19,upi,-3.0,True,8,2025
BILL_0000057,USR_00001,dth,960.32,2025-09-22,2025-09-21,cash,-1.0,True,9,2025
BILL_0000058,USR_00001,dth,810.18,2025-10-11,2025-10-09,auto_debit,-2.0,True,10,2025
BILL_0000059,USR_00001,dth,835.71,2025-11-16,2025-11-14,upi,-2.0,True,11,2025
BILL_0000060,USR_00001,dth,681.36,2025-12-21,2026-01-15,upi,25.0,False,12,2025
BILL_0000061,USR_00002,electricity,3891.68,2025-01-09,2025-01-05,auto_debit,-4.0,True,1,2025
BILL_0000062,USR_00002,electricity,2994.23,2025-02-17,2025-02-16,cash,-1.0,True,2,2025
BILL_0000063,USR_00002,electricity,3201.73,2025-03-18,2025-03-16,upi,-2.0,True,3,2025
BILL_0000064,USR_00002,electricity,3761.19,2025-04-15,2025-04-12,auto_debit,-3.0,True,4,2025
BILL_0000065,USR_00002,electricity,3468.69,2025-05-09,2025-05-04,upi,-5.0,True,5,2025
BILL_0000066,USR_00002,electricity,3164.31,2025-06-12,2025-06-10,upi,-2.0,True,6,2025
BILL_0000067,USR_00002,electricity,3187.9,2025-07-16,2025-07-14,cash,-2.0,True,7,2025
BILL_0000068,USR_00002,electricity,3418.26,2025-08-14,2025-08-12,upi,-2.0,True,8,2025
BILL_0000069,USR_00002,electricity,2985.69,2025-09-20,2025-09-18,auto_debit,-2.0,True,9,2025
BILL_0000070,USR_00002,electricity,3508.45,2025-10-16,2025-10-12,upi,-4.0,True,10,2025
BILL_0000071,USR_00002,electricity,3425.61,2025-11-15,2025-11-11,cash,-4.0,True,11,2025
BILL_0000072,USR_00002,electricity,4005.14,2025-12-12,2025-12-11,cash,-1.0,True,12,2025
BILL_0000073,USR_00002,rent,22491.06,2025-01-09,2025-01-07,upi,-2.0,True,1,2025
BILL_0000074,USR_00002,rent,27881.79,2025-02-08,2025-02-06,cash,-2.0,True,2,2025
BILL_0000075,USR_00002,rent,27932.56,2025-03-19,2025-03-17,upi,-2.0,True,3,2025
BILL_0000076,USR_00002,rent,26478.61,2025-04-14,2025-04-10,cash,-4.0,True,4,2025
BILL_0000077,USR_00002,rent,25407.54,2025-05-21,2025-05-19,upi,-2.0,True,5,2025
BILL_0000078,USR_00002,rent,30091.29,2025-06-09,2025-06-08,cash,-1.0,True,6,2025
BILL_0000079,USR_00002,rent,25932.52,2025-07-23,2025-07-22,cash,-1.0,True,7,2025
BILL_0000080,USR_00002,rent,25616.0,2025-08-19,2025-08-15,cash,-4.0,True,8,2025
BILL_0000081,USR_00002,rent,24111.53,2025-09-22,2025-09-20,cash,-2.0,True,9,2025
BILL_0000082,USR_00002,rent,22205.34,2025-10-22,2025-10-22,upi,0.0,True,10,2025
BILL_0000083,USR_00002,rent,29402.76,2025-11-13,2025-11-08,cash,-5.0,True,11,2025
BILL_0000084,USR_00002,rent,28422.48,2025-12-21,2025-12-17,upi,-4.0,True,12,2025
BILL_0000085,USR_00002,broadband,2561.45,2025-01-12,2025-01-12,upi,0.0,True,1,2025
BILL_0000086,USR_00002,broadband,2380.89,2025-02-22,2025-02-19,upi,-3.0,True,2,2025
BILL_0000087,USR_00002,broadband,2879.43,2025-03-07,2025-03-03,upi,-4.0,True,3,2025
BILL_0000088,USR_00002,broadband,3144.81,2025-04-14,2025-04-11,upi,-3.0,True,4,2025
BILL_0000089,USR_00002,broadband,2638.03,2025-05-21,2025-05-24,auto_debit,3.0,False,5,2025
BILL_0000090,USR_00002,broadband,3302.81,2025-06-20,2025-06-18,upi,-2.0,True,6,2025
BILL_0000091,USR_00002,broadband,2535.98,2025-07-16,2025-07-11,cash,-5.0,True,7,2025
BILL_0000092,USR_00002,broadband,2367.37,2025-08-06,2025-08-05,upi,-1.0,True,8,2025
BILL_0000093,USR_00002,broadband,2798.01,2025-09-15,2025-09-10,upi,-5.0,True,9,2025
BILL_0000094,USR_00002,broadband,2531.48,2025-10-18,2025-10-16,upi,-2.0,True,10,2025
BILL_0000095,USR_00002,broadband,2820.05,2025-11-21,2025-11-19,cash,-2.0,True,11,2025
BILL_0000096,USR_00002,broadband,2889.91,2025-12-14,2025-12-14,upi,0.0,True,12,2025
BILL_0000097,USR_00002,mobile_recharge,863.4,2025-01-23,2025-01-21,cash,-2.0,True,1,2025
BILL_0000098,USR_00002,mobile_recharge,694.57,2025-02-17,2025-02-14,cash,-3.0,True,2,2025
BILL_0000099,USR_00002,mobile_recharge,787.72,2025-03-09,2025-03-06,upi,-3.0,True,3,2025
BILL_0000100,USR_00002,mobile_recharge,905.74,2025-04-19,2025-04-16,cash,-3.0,True,4,2025
BILL_0000101,USR_00002,mobile_recharge,803.92,2025-05-17,2025-05-28,upi,11.0,False,5,2025
BILL_0000102,USR_00002,mobile_recharge,926.58,2025-06-07,2025-06-05,cash,-2.0,True,6,2025
BILL_0000103,USR_00002,mobile_recharge,878.06,2025-07-19,2025-07-17,upi,-2.0,True,7,2025
BILL_0000104,USR_00002,mobile_recharge,736.72,2025-08-10,2025-08-10,auto_debit,0.0,True,8,2025
BILL_0000105,USR_00002,mobile_recharge,821.66,2025-09-21,2025-09-19,upi,-2.0,True,9,2025
BILL_0000106,USR_00002,mobile_recharge,887.62,2025-10-20,2025-10-17,auto_debit,-3.0,True,10,2025
BILL_0000107,USR_00002,mobile_recharge,868.75,2025-11-10,2025-11-08,cash,-2.0,True,11,2025
BILL_0000108,USR_00002,mobile_recharge,825.08,2025-12-14,2025-12-09,upi,-5.0,True,12,2025
BILL_0000109,USR_00002,dth,759.12,2025-01-09,2025-01-07,auto_debit,-2.0,True,1,2025
BILL_0000110,USR_00002,dth,720.43,2025-02-07,2025-02-06,auto_debit,-1.0,True,2,2025
BILL_0000111,USR_00002,dth,816.06,2025-03-07,2025-03-02,upi,-5.0,True,3,2025
BILL_0000112,USR_00002,dth,858.13,2025-04-12,2025-04-09,cash,-3.0,True,4,2025
BILL_0000113,USR_00002,dth,957.16,2025-05-20,2025-05-16,cash,-4.0,True,5,2025
BILL_0000114,USR_00002,dth,722.73,2025-06-21,2025-06-17,upi,-4.0,True,6,2025
BILL_0000115,USR_00002,dth,769.56,2025-07-18,2025-07-15,upi,-3.0,True,7,2025
BILL_0000116,USR_00002,dth,536.86,2025-08-13,2025-08-13,auto_debit,0.0,True,8,2025
BILL_0000117,USR_00002,dth,747.33,2025-09-06,2025-09-05,upi,-1.0,True,9,2025
BILL_0000118,USR_00002,dth,702.77,2025-10-09,2025-10-08,upi,-1.0,True,10,2025
BILL_0000119,USR_00002,dth,836.97,2025-11-20,2025-11-19,upi,-1.0,True,11,2025
BILL_0000120,USR_00002,dth,623.45,2025-12-23,2025-12-18,upi,-5.0,True,12,2025
BILL_0000121,USR_00003,electricity,4777.82,2025-01-17,2025-02-14,upi,28.0,False,1,2025
BILL_0000122,USR_00003,electricity,4597.27,2025-02-16,2025-02-15,auto_debit,-1.0,True,2,2025
BILL_0000123,USR_00003,electricity,4847.14,2025-03-19,2025-03-15,upi,-4.0,True,3,2025
BILL_0000124,USR_00003,electricity,4809.02,2025-04-07,2025-04-05,upi,-2.0,True,4,2025
BILL_0000125,USR_00003,electricity,4546.05,2025-05-25,2025-05-22,upi,-3.0,True,5,2025
BILL_0000126,USR_00003,electricity,4534.46,2025-06-07,2025-07-03,upi,26.0,False,6,2025
BILL_0000127,USR_00003,electricity,5423.56,2025-07-17,2025-07-15,auto_debit,-2.0,True,7,2025
BILL_0000128,USR_00003,electricity,5057.01,2025-08-07,2025-08-06,auto_debit,-1.0,True,8,2025
BILL_0000129,USR_00003,electricity,4670.12,2025-09-19,2025-09-15,cash,-4.0,True,9,2025
BILL_0000130,USR_00003,electricity,4865.24,2025-10-15,2025-10-23,auto_debit,8.0,False,10,2025
BILL_0000131,USR_00003,electricity,5277.4,2025-11-16,2025-11-15,upi,-1.0,True,11,2025
BILL_0000132,USR_00003,electricity,4847.79,2025-12-06,2025-12-01,auto_debit,-5.0,True,12,2025
BILL_0000133,USR_00003,rent,25444.4,2025-01-09,2025-01-07,cash,-2.0,True,1,2025
BILL_0000134,USR_00003,rent,34581.16,2025-02-10,2025-02-17,upi,7.0,False,2,2025
BILL_0000135,USR_00003,rent,33579.06,2025-03-11,2025-04-05,auto_debit,25.0,False,3,2025
BILL_0000136,USR_00003,rent,32563.51,2025-04-23,2025-04-21,auto_debit,-2.0,True,4,2025
BILL_0000137,USR_00003,rent,29688.04,2025-05-05,2025-05-04,upi,-1.0,True,5,2025
BILL_0000138,USR_00003,rent,31599.43,2025-06-17,2025-06-27,auto_debit,10.0,False,6,2025
BILL_0000139,USR_00003,rent,34637.35,2025-07-07,2025-07-29,upi,22.0,False,7,2025
BILL_0000140,USR_00003,rent,29413.17,2025-08-18,2025-08-22,cash,4.0,False,8,2025
BILL_0000141,USR_00003,rent,29684.94,2025-09-06,2025-09-04,upi,-2.0,True,9,2025
BILL_0000142,USR_00003,rent,32118.23,2025-10-18,2025-10-27,upi,9.0,False,10,2025
BILL_0000143,USR_00003,rent,30551.74,2025-11-18,2025-11-14,auto_debit,-4.0,True,11,2025
BILL_0000144,USR_00003,rent,35415.43,2025-12-09,2025-12-13,auto_debit,4.0,False,12,2025
BILL_0000145,USR_00003,broadband,1545.42,2025-01-13,2025-01-10,auto_debit,-3.0,True,1,2025
BILL_0000146,USR_00003,broadband,1851.8,2025-02-10,2025-02-10,upi,0.0,True,2,2025
BILL_0000147,USR_00003,broadband,1460.02,2025-03-19,2025-03-15,upi,-4.0,True,3,2025
BILL_0000148,USR_00003,broadband,1406.37,2025-04-25,2025-04-23,upi,-2.0,True,4,2025
BILL_0000149,USR_00003,broadband,1587.03,2025-05-25,2025-05-25,cash,0.0,True,5,2025
BILL_0000150,USR_00003,broadband,1365.62,2025-06-25,2025-07-16,auto_debit,21.0,False,6,2025
BILL_0000151,USR_00003,broadband,1569.12,2025-07-19,2025-07-15,upi,-4.0,True,7,2025
BILL_0000152,USR_00003,broadband,1537.04,2025-08-09,2025-08-06,upi,-3.0,True,8,2025
BILL_0000153,USR_00003,broadband,1638.05,2025-09-24,2025-09-28,upi,4.0,False,9,2025
BILL_0000154,USR_00003,broadband,1293.87,2025-10-25,2025-10-20,auto_debit,-5.0,True,10,2025
BILL_0000155,USR_00003,broadband,1814.14,2025-11-13,2025-11-18,cash,5.0,False,11,2025
BILL_0000156,USR_00003,broadband,1647.19,2025-12-15,2025-12-15,cash,0.0,True,12,2025
BILL_0000157,USR_00003,mobile_recharge,537.94,2025-01-21,2025-01-18,cash,-3.0,True,1,2025
BILL_0000158,USR_00003,mobile_recharge,614.15,2025-02-06,2025-02-03,upi,-3.0,True,2,2025
BILL_0000159,USR_00003,mobile_recharge,562.69,2025-03-06,2025-03-26,auto_debit,20.0,False,3,2025
BILL_0000160,USR_00003,mobile_recharge,589.45,2025-04-12,2025-04-11,cash,-1.0,True,4,2025
BILL_0000161,USR_00003,mobile_recharge,643.87,2025-05-20,2025-05-17,upi,-3.0,True,5,2025
BILL_0000162,USR_00003,mobile_recharge,616.31,2025-06-15,2025-06-13,upi,-2.0,True,6,2025
BILL_0000163,USR_00003,mobile_recharge,627.03,2025-07-09,2025-07-04,upi,-5.0,True,7,2025
BILL_0000164,USR_00003,mobile_recharge,520.16,2025-08-24,2025-09-10,auto_debit,17.0,False,8,2025
BILL_0000165,USR_00003,mobile_recharge,697.67,2025-09-17,2025-09-14,auto_debit,-3.0,True,9,2025
BILL_0000166,USR_00003,mobile_recharge,544.84,2025-10-06,2025-10-03,auto_debit,-3.0,True,10,2025
BILL_0000167,USR_00003,mobile_recharge,573.04,2025-11-09,2025-11-06,auto_debit,-3.0,True,11,2025
BILL_0000168,USR_00003,mobile_recharge,619.9,2025-12-18,2025-12-14,cash,-4.0,True,12,2025
BILL_0000169,USR_00003,dth,323.62,2025-01-13,2025-01-08,upi,-5.0,True,1,2025
BILL_0000170,USR_00003,dth,375.89,2025-02-23,2025-02-21,upi,-2.0,True,2,2025
BILL_0000171,USR_00003,dth,375.93,2025-03-13,2025-03-17,upi,4.0,False,3,2025
BILL_0000172,USR_00003,dth,342.73,2025-04-06,2025-04-24,cash,18.0,False,4,2025
BILL_0000173,USR_00003,dth,434.6,2025-05-08,2025-05-03,cash,-5.0,True,5,2025
BILL_0000174,USR_00003,dth,389.83,2025-06-11,2025-06-10,auto_debit,-1.0,True,6,2025
BILL_0000175,USR_00003,dth,368.52,2025-07-14,2025-07-13,upi,-1.0,True,7,2025
BILL_0000176,USR_00003,dth,431.27,2025-08-08,2025-09-03,cash,26.0,False,8,2025
BILL_0000177,USR_00003,dth,446.48,2025-09-06,2025-10-06,upi,30.0,False,9,2025
BILL_0000178,USR_00003,dth,297.87,2025-10-16,2025-10-15,auto_debit,-1.0,True,10,2025
BILL_0000179,USR_00003,dth,386.9,2025-11-21,2025-11-16,upi,-5.0,True,11,2025
BILL_0000180,USR_00003,dth,342.33,2025-12-16,2026-01-04,upi,19.0,False,12,2025
BILL_0000181,USR_00004,electricity,6061.42,2025-01-08,2025-01-08,upi,0.0,True,1,2025
BILL_0000182,USR_00004,electricity,5248.34,2025-02-19,2025-02-18,upi,-1.0,True,2,2025
BILL_0000183,USR_00004,electricity,6401.72,2025-03-14,2025-03-13,upi,-1.0,True,3,2025
BILL_0000184,USR_00004,electricity,5476.09,2025-04-19,,none,,False,4,2025
BILL_0000185,USR_00004,electricity,5401.04,2025-05-21,2025-05-19,cash,-2.0,True,5,2025
BILL_0000186,USR_00004,electricity,5515.85,2025-06-20,2025-06-16,upi,-4.0,True,6,2025
BILL_0000187,USR_00004,electricity,5534.84,2025-07-21,2025-07-19,auto_debit,-2.0,True,7,2025
BILL_0000188,USR_00004,electricity,5161.02,2025-08-11,2025-08-07,cash,-4.0,True,8,2025
BILL_0000189,USR_00004,electricity,5746.67,2025-09-21,2025-09-18,upi,-3.0,True,9,2025
BILL_0000190,USR_00004,electricity,4772.53,2025-10-17,2025-10-15,cash,-2.0,True,10,2025
BILL_0000191,USR_00004,electricity,5541.32,2025-11-23,2025-11-20,cash,-3.0,True,11,2025
BILL_0000192,USR_00004,electricity,6335.14,2025-12-12,2025-12-12,upi,0.0,True,12,2025
BILL_0000193,USR_00004,rent,23775.0,2025-01-20,2025-01-19,upi,-1.0,True,1,2025
BILL_0000194,USR_00004,rent,24620.85,2025-02-13,2025-02-08,upi,-5.0,True,2,2025
BILL_0000195,USR_00004,rent,21014.64,2025-03-12,2025-03-11,upi,-1.0,True,3,2025
BILL_0000196,USR_00004,rent,24987.41,2025-04-06,2025-04-03,upi,-3.0,True,4,2025
BILL_0000197,USR_00004,rent,27672.48,2025-05-15,2025-05-10,auto_debit,-5.0,True,5,2025
BILL_0000198,USR_00004,rent,27148.73,2025-06-05,2025-05-31,upi,-5.0,True,6,2025
BILL_0000199,USR_00004,rent,23319.62,2025-07-19,2025-07-15,auto_debit,-4.0,True,7,2025
BILL_0000200,USR_00004,rent,27060.79,2025-08-07,2025-08-19,upi,12.0,False,8,2025
BILL_0000201,USR_00004,rent,21297.87,2025-09-11,2025-09-06,upi,-5.0,True,9,2025
BILL_0000202,USR_00004,rent,26975.96,2025-10-05,2025-09-30,upi,-5.0,True,10,2025
BILL_0000203,USR_00004,rent,29889.4,2025-11-19,2025-11-14,auto_debit,-5.0,True,11,2025
BILL_0000204,USR_00004,rent,23566.53,2025-12-22,2025-12-19,upi,-3.0,True,12,2025
BILL_0000205,USR_00004,broadband,2278.27,2025-01-20,2025-01-16,upi,-4.0,True,1,2025
BILL_0000206,USR_00004,broadband,1915.61,2025-02-15,2025-02-10,cash,-5.0,True,2,2025
BILL_0000207,USR_00004,broadband,1996.17,2025-03-08,2025-04-04,cash,27.0,False,3,2025
BILL_0000208,USR_00004,broadband,2045.25,2025-04-10,,none,,False,4,2025
BILL_0000209,USR_00004,broadband,2266.63,2025-05-06,2025-05-02,auto_debit,-4.0,True,5,2025
BILL_0000210,USR_00004,broadband,2427.89,2025-06-11,2025-06-08,upi,-3.0,True,6,2025
BILL_0000211,USR_00004,broadband,2371.57,2025-07-09,2025-07-05,upi,-4.0,True,7,2025
BILL_0000212,USR_00004,broadband,2300.91,2025-08-10,2025-08-08,upi,-2.0,True,8,2025
BILL_0000213,USR_00004,broadband,2303.87,2025-09-06,2025-09-06,upi,0.0,True,9,2025
BILL_0000214,USR_00004,broadband,2041.66,2025-10-06,2025-10-06,cash,0.0,True,10,2025
BILL_0000215,USR_00004,broadband,2034.79,2025-11-05,,none,,False,11,2025
BILL_0000216,USR_00004,broadband,2415.57,2025-12-23,2025-12-19,upi,-4.0,True,12,2025
BILL_0000217,USR_00004,mobile_recharge,722.35,2025-01-16,2025-01-14,upi,-2.0,True,1,2025
BILL_0000218,USR_00004,mobile_recharge,741.11,2025-02-10,2025-02-10,auto_debit,0.0,True,2,2025
BILL_0000219,USR_00004,mobile_recharge,852.94,2025-03-21,2025-03-30,upi,9.0,False,3,2025
BILL_0000220,USR_00004,mobile_recharge,676.31,2025-04-18,2025-04-16,upi,-2.0,True,4,2025
BILL_0000221,USR_00004,mobile_recharge,868.83,2025-05-21,2025-05-21,upi,0.0,True,5,2025
BILL_0000222,USR_00004,mobile_recharge,619.24,2025-06-25,2025-06-24,upi,-1.0,True,6,2025
BILL_0000223,USR_00004,mobile_recharge,759.95,2025-07-12,2025-07-07,upi,-5.0,True,7,2025
BILL_0000224,USR_00004,mobile_recharge,687.16,2025-08-11,2025-08-08,upi,-3.0,True,8,2025
BILL_0000225,USR_00004,mobile_recharge,838.32,2025-09-05,2025-09-03,upi,-2.0,True,9,2025
BILL_0000226,USR_00004,mobile_recharge,635.36,2025-10-06,2025-10-06,cash,0.0,True,10,2025
BILL_0000227,USR_00004,mobile_recharge,662.75,2025-11-17,2025-11-12,upi,-5.0,True,11,2025
BILL_0000228,USR_00004,mobile_recharge,853.94,2025-12-15,2025-12-14,auto_debit,-1.0,True,12,2025
BILL_0000229,USR_00004,dth,932.3,2025-01-18,2025-01-17,upi,-1.0,True,1,2025
BILL_0000230,USR_00004,dth,754.35,2025-02-14,2025-02-10,upi,-4.0,True,2,2025
BILL_0000231,USR_00004,dth,950.79,2025-03-12,2025-03-07,upi,-5.0,True,3,2025
BILL_0000232,USR_00004,dth,957.3,2025-04-11,2025-04-06,upi,-5.0,True,4,2025
BILL_0000233,USR_00004,dth,827.35,2025-05-15,2025-05-11,upi,-4.0,True,5,2025
BILL_0000234,USR_00004,dth,912.18,2025-06-14,2025-06-11,upi,-3.0,True,6,2025
BILL_0000235,USR_00004,dth,848.65,2025-07-13,2025-07-12,auto_debit,-1.0,True,7,2025
BILL_0000236,USR_00004,dth,886.54,2025-08-07,2025-08-07,upi,0.0,True,8,2025
BILL_0000237,USR_00004,dth,796.65,2025-09-23,2025-09-19,cash,-4.0,True,9,2025
BILL_0000238,USR_00004,dth,960.54,2025-10-05,2025-10-11,upi,6.0,False,10,2025
BILL_0000239,USR_00004,dth,917.92,2025-11-23,2025-11-19,upi,-4.0,True,11,2025
BILL_0000240,USR_00004,dth,929.81,2025-12-21,2025-12-18,cash,-3.0,True,12,2025
BILL_0000241,USR_00005,electricity,3820.09,2025-01-10,2025-01-10,cash,0.0,True,1,2025
BILL_0000242,USR_00005,electricity,3174.93,2025-02-18,2025-02-17,auto_debit,-1.0,True,2,2025
BILL_0000243,USR_00005,electricity,3498.75,2025-03-11,2025-03-06,upi,-5.0,True,3,2025
BILL_0000244,USR_00005,electricity,3142.26,2025-04-16,2025-04-12,cash,-4.0,True,4,2025
BILL_0000245,USR_00005,electricity,3249.78,2025-05-23,2025-05-22,upi,-1.0,True,5,2025
BILL_0000246,USR_00005,electricity,3690.56,2025-06-14,2025-06-11,upi,-3.0,True,6,2025
BILL_0000247,USR_00005,electricity,3629.16,2025-07-07,2025-07-03,auto_debit,-4.0,True,7,2025
BILL_0000248,USR_00005,electricity,3699.12,2025-08-13,2025-08-11,upi,-2.0,True,8,2025
BILL_0000249,USR_00005,electricity,2663.82,2025-09-07,2025-09-07,upi,0.0,True,9,2025
BILL_0000250,USR_00005,electricity,3568.56,2025-10-06,2025-10-02,upi,-4.0,True,10,2025
BILL_0000251,USR_00005,electricity,3315.03,2025-11-09,2025-11-29,upi,20.0,False,11,2025
BILL_0000252,USR_00005,electricity,4264.92,2025-12-06,2025-12-04,auto_debit,-2.0,True,12,2025
BILL_0000253,USR_00005,rent,24543.62,2025-01-16,2025-01-12,cash,-4.0,True,1,2025
BILL_0000254,USR_00005,rent,26716.11,2025-02-24,,none,,False,2,2025
BILL_0000255,USR_00005,rent,25620.53,2025-03-10,2025-03-06,cash,-4.0,True,3,2025
BILL_0000256,USR_00005,rent,24455.13,2025-04-23,2025-04-21,auto_debit,-2.0,True,4,2025
BILL_0000257,USR_00005,rent,21499.26,2025-05-24,2025-05-22,upi,-2.0,True,5,2025
BILL_0000258,USR_00005,rent,24312.2,2025-06-10,2025-06-09,cash,-1.0,True,6,2025
BILL_0000259,USR_00005,rent,29588.61,2025-07-05,2025-07-05,cash,0.0,True,7,2025
BILL_0000260,USR_00005,rent,26658.7,2025-08-17,2025-08-16,cash,-1.0,True,8,2025
BILL_0000261,USR_00005,rent,24307.39,2025-09-20,2025-09-15,upi,-5.0,True,9,2025
BILL_0000262,USR_00005,rent,23777.58,2025-10-19,2025-11-01,auto_debit,13.0,False,10,2025
BILL_0000263,USR_00005,rent,24365.6,2025-11-05,2025-12-03,upi,28.0,False,11,2025
BILL_0000264,USR_00005,rent,22500.09,2025-12-11,2025-12-11,upi,0.0,True,12,2025
BILL_0000265,USR_00005,broadband,1107.32,2025-01-18,2025-01-17,auto_debit,-1.0,True,1,2025
BILL_0000266,USR_00005,broadband,1212.63,2025-02-20,2025-02-19,upi,-1.0,True,2,2025
